trial,eval,score,best_score,params
71,3,629.8524,706.7950,-0.2111;-0.0903;0.3153;0.7812;-0.6921;-0.3259;0.6611;-1.0000;0.2267;-0.1259;0.0970;-0.6593
72,3,703.4940,706.7950,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.3259;0.6611;-0.8668;0.2267;-0.1259;0.0970;-0.6593
73,3,688.5387,706.7950,-0.2111;-0.0903;0.4190;0.7812;-0.6921;-0.3259;0.6611;-0.8067;0.2267;-0.1259;0.0970;-0.6593
74,3,708.3439,708.3439,-0.2111;-0.0903;0.5241;0.8538;-0.6921;-0.3259;0.6611;-0.8067;0.2267;-0.0794;0.0970;-0.6593
75,3,716.8837,716.8837,-0.2111;-0.0903;0.3938;1.0000;-0.6921;-0.3259;0.6611;-0.8067;0.2267;-0.0794;0.0970;-0.6593
76,3,737.9952,737.9952,-0.2111;-0.0903;0.4654;1.0000;-0.6921;-0.3259;0.6611;-0.8067;0.2267;-0.0794;0.0970;-0.6593
77,3,682.7627,737.9952,-0.2111;-0.0903;0.4654;1.0000;-0.6921;-0.3259;0.6611;-0.8067;0.1594;-0.0794;0.1600;-0.6593
78,3,697.6411,737.9952,-0.2111;-0.0903;0.8154;1.0000;-0.6921;-0.6133;0.6611;-0.8067;0.2267;-0.0794;0.0970;-0.6593
79,3,245.3023,737.9952,-0.2111;-0.0903;0.4654;1.0000;-0.2444;-0.3259;0.6611;-0.8067;0.2267;-0.0794;-0.0221;-0.6593
80,3,693.0073,737.9952,-0.2111;-0.0903;0.4654;1.0000;-1.0000;-0.3259;0.6611;-0.8067;0.2267;-0.0794;0.2836;-0.6593
81,3,718.4707,737.9952,-0.2111;-0.0903;0.2915;1.0000;-0.6921;-0.3259;0.6611;-0.8067;0.2267;-0.0794;-0.1325;-0.6593
82,3,696.1263,737.9952,-0.4054;-0.0903;0.4654;1.0000;-0.5989;-0.3259;0.6611;-0.8067;0.2267;-0.0794;0.0970;-0.6593
83,3,685.6864,737.9952,-0.2111;-0.0903;0.7903;1.0000;-0.6921;-0.3259;0.6611;-0.7805;0.2267;-0.0794;0.0970;-0.6593
84,3,520.0837,737.9952,-0.2482;-0.0903;0.4654;1.0000;-0.6921;-0.3259;0.9249;-0.8067;0.2267;-0.0794;0.0970;-0.6593
85,3,719.2650,737.9952,-0.2111;-0.0903;0.4654;1.0000;-0.6921;-0.7744;0.6611;-0.8067;0.1195;-0.0794;0.0970;-0.6593
86,3,738.6070,738.6070,-0.2111;-0.0903;0.4654;1.0000;-0.6921;-0.3259;0.6611;-0.8067;0.3437;-0.0794;0.0378;-0.6593
87,3,697.2062,738.6070,-0.2111;-0.0903;0.0565;1.0000;-0.6921;-0.3259;0.6611;-0.8067;0.3437;-0.0794;0.1295;-0.6593
88,3,435.2748,738.6070,0.1968;-0.0903;0.4654;1.0000;-0.6921;-0.3259;0.6611;-0.8067;0.4233;-0.0794;0.0378;-0.6593
89,3,742.9454,742.9454,-0.2111;-0.0903;0.4654;1.0000;-0.6921;-0.3259;0.6611;-0.8067;0.3437;-0.0794;0.0378;-1.0000
90,3,733.0176,742.9454,-0.2111;-0.0903;0.4654;0.9537;-0.6921;-0.3259;0.6611;-0.8067;0.3437;-0.0794;0.0378;-1.0000
91,3,751.1795,751.1795,-0.2111;-0.0903;0.4654;1.0000;-0.6921;-0.3259;0.6611;-0.8650;0.3437;-0.0794;0.0378;-1.0000
92,3,679.6281,751.1795,0.0590;-0.0903;0.4654;1.0000;-0.7594;-0.3259;0.6611;-0.8650;0.3437;-0.0794;0.0378;-1.0000
93,3,345.0918,751.1795,-0.2111;-0.0903;0.4654;1.0000;-0.6921;-0.3259;0.9384;-0.8650;0.3437;-0.0794;0.0378;-1.0000
94,3,443.7016,751.1795,-0.2111;-0.0903;0.4654;1.0000;-0.6921;-0.3259;0.6611;-0.8650;0.4473;-0.0794;0.0378;-1.0000
95,3,284.2139,751.1795,-0.2111;-0.0903;0.4654;1.0000;-0.6921;-0.3259;1.0000;-0.7894;0.3437;-0.0794;0.0378;-1.0000
96,3,751.1795,751.1795,-0.2111;-0.0903;0.4654;1.0000;-0.6921;-0.3259;0.6611;-0.8650;0.3437;-0.0794;0.0378;-1.0000
97,3,743.6332,751.1795,-0.2111;-0.1418;0.4654;1.0000;-0.6921;-0.3259;0.6611;-0.8514;0.3437;-0.0794;0.0378;-1.0000
98,3,751.6955,751.6955,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.6611;-0.8650;0.3437;-0.0794;0.0378;-1.0000
99,3,487.8538,751.6955,-0.2111;-0.1037;0.4654;1.0000;-0.7945;-0.3259;0.6611;-0.8650;0.3437;-0.0794;0.4115;-1.0000
100,3,716.6042,751.6955,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.7094;-0.8650;0.3437;-0.2298;0.0378;-1.0000
101,3,707.9562,751.6955,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.7091;-0.8650;0.3437;-0.0794;0.0378;-1.0000
102,3,694.1668,751.6955,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.4374;-0.8650;0.3437;-0.0794;0.3325;-1.0000
103,3,711.5300,751.6955,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.6949;0.6611;-0.8650;0.3437;-0.3456;0.0378;-1.0000
104,3,623.9111,751.6955,0.3359;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.6611;-0.8650;0.3437;-0.0794;0.0378;-1.0000
105,3,744.8923,751.6955,-0.2473;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.6611;-0.8650;0.3437;-0.0794;0.0378;-1.0000
106,3,759.8193,759.8193,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.6611;-0.8595;0.3437;-0.0794;0.0378;-0.3779
107,3,725.7521,759.8193,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.3259;0.6611;-0.8595;0.3839;-0.2671;0.0378;-0.3779
108,3,754.2774,759.8193,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.5487;0.6611;-0.8595;0.3437;-0.0794;0.0378;-0.3779
109,3,660.6382,759.8193,-0.7502;-0.0903;0.4654;1.0000;-0.7945;-0.1429;0.6611;-0.8595;0.3437;-0.0794;0.0378;-0.3779
110,3,698.0321,759.8193,-0.2111;-0.0903;0.4654;1.0000;-0.7945;-0.0746;0.6611;-0.8595;0.3437;-0.0794;0.0378;0.1174
